TF	Target	OddsRatio
AT1G10120	AT5G44080	0.711010112976705
AT1G10120	AT1G04900	0.941843852424573
AT1G10120	AT2G42620	0.532804614275415
AT1G10120	AT1G17230	0.546116504854369
AT1G10120	AT1G74440	0.748478499451262
AT2G43010	AT4G26455	0.695524840172863
AT2G43010	AT3G26750	0.848676293622142
AT5G49450	AT3G23920	0.98446866178571
AT5G49450	AT2G37750	0
AT5G49450	AT1G13080	0
AT5G49450	AT1G32760	0
AT5G49450	AT5G59080	0
AT5G65640	AT3G54620	0.982890173410405
AT5G65640	AT4G14300	0.687011894749489
AT5G65640	AT3G53710	0.896625987078248
AT5G65640	AT5G66590	0.538556271314892
AT5G65640	AT5G08680	0.987757427757428
AT5G65640	AT1G78900	0.903064763967142
AT5G65640	AT3G02550	0.562614297246981
AT5G57150	AT4G34000	0.858734532509541
AT5G57150	AT1G77920	0.533675166297118
AT5G57150	AT1G67792	0.505504688361831
AT5G57150	AT1G16710	0.986912358379997
AT5G57150	AT3G03790	0.847124574851233
AT5G57150	AT5G24830	0
AT5G57150	AT2G42620	0.988451382642254
AT5G57150	AT4G36032	0.656372199229342
AT5G57150	AT2G20370	0.75310294676649
AT5G57150	AT1G74510	0.696254666450252
AT5G57150	AT3G03550	0.960877296976882
AT5G57150	AT1G79630	0.365964968664631
AT5G57150	AT5G55740	0.735327743902439
AT5G57150	AT2G46550	0.933941788635984
AT5G57150	AT4G16250	0.995641884091434
AT5G57150	AT5G67460	0
AT5G11260	AT1G43700	0
AT5G11260	AT1G04900	0
AT5G11260	AT1G19700	0.55306727916547
AT5G11260	AT1G64440	0.703064437984496
AT5G11260	AT2G18193	0
AT5G11260	AT5G65280	0.768036469344609
AT2G20180	AT2G41070	0.56148536988432
AT2G20180	AT4G02425	0
AT3G62090	AT5G46690	0
AT3G62090	AT3G09600	0
AT3G62090	AT1G78130	0
AT3G62090	AT5G13730	0
AT3G62090	AT3G17580	0
AT3G62090	AT1G44350	0
AT3G62090	AT1G12250	0
AT3G62090	AT2G35260	0
AT3G62090	AT2G20340	0
AT3G62090	AT4G31850	0
AT3G26744	AT2G35820	0.433257918552036
AT3G26744	AT2G34620	0.661077844311377
AT3G26744	AT1G79630	0.885342019543974
AT3G26744	AT3G02550	0.874709205716185
AT3G26744	AT3G49550	0.839962121212121
AT1G05805	AT5G22320	0.757462479924683
AT1G05805	AT4G26455	0.929385532797511
AT1G05805	AT5G15570	0.968529785092135
AT5G10030	AT3G53370	0
AT5G10030	AT5G67140	0
AT5G10030	AT3G59210	0
AT5G10030	AT1G18900	0
AT5G10030	AT4G31100	0
AT5G10030	AT4G14600	0
AT5G10030	AT2G42940	0
AT5G10030	AT1G61340	0
AT5G10030	AT1G75440	0
AT5G10030	AT3G10210	0
AT5G10030	AT5G05987	0
AT2G31370	AT1G34630	0.923897770084513
AT1G35460	AT5G16990	0.81998028724303
AT1G35460	AT1G19700	0.908225108225108
AT1G35460	AT1G20260	0.857573798750269
AT1G35460	AT1G61790	0.272651087060626
AT1G35460	AT5G16340	0
AT1G35460	AT4G17830	0.549066085142695
AT1G35460	AT5G13400	0
AT1G35460	AT3G13740	0.581744279405861
AT1G35460	AT1G20890	0
AT1G35460	AT1G53560	0
AT1G35460	AT5G01200	0
AT1G35460	AT2G46700	0
AT4G29100	AT1G36160	0.973561552622302
AT4G29100	AT4G33220	0.697214951846111
AT4G29100	AT2G28470	0.939713493367248
AT1G08320	AT2G47270	0
AT1G08320	AT3G47640	0
AT1G08320	AT2G21130	0
AT1G08320	AT4G16000	0
AT1G08320	AT1G77090	0
AT1G08320	AT5G66080	0
AT1G08320	AT5G41810	0
AT1G08320	AT4G37800	0.829026270702456
AT1G08320	AT1G75030	0
AT1G08320	AT1G19150	0
AT1G08320	AT4G17560	0.441485255519531
AT1G08320	AT3G01970	0
AT1G08320	AT1G07590	0.682965523102637
AT2G40620	AT1G19570	0.94210453539823
AT2G40620	AT4G08290	0.896769230769231
AT2G40620	AT1G27330	0.852912657566943
AT2G40620	AT1G12800	0.906144884732136
AT2G40620	AT2G21330	0.755988233646169
AT2G40620	AT5G08680	0.546450304259635
AT2G40620	AT5G13930	0.842820050486837
AT2G40620	AT4G31290	0.781446971773089
AT2G40620	AT5G57900	0.81740350877193
AT2G40620	AT4G02500	0.904017680953509
AT2G40620	AT1G65690	0
AT2G40620	AT3G54826	0.78272268907563
AT2G40620	AT2G21140	0.78272268907563
AT4G09180	AT3G01490	0.58592132505176
AT4G09180	AT1G44800	0
AT4G37730	AT2G36080	0.952380952380952
AT4G37730	AT1G21920	0.915087236898098
AT4G37730	AT5G67370	0
AT4G37730	AT5G27920	0.801817931414406
AT4G37730	AT1G54200	0.55188679245283
AT4G30980	AT3G23210	0
AT4G30980	AT4G38220	0
AT4G30980	AT1G10522	0
AT4G30980	AT5G24850	0
AT4G30980	AT5G38590	0
AT4G30980	AT3G15357	0
AT4G30980	AT5G50240	0
AT4G30980	AT5G66800	0
AT4G30980	AT5G38480	0.596282279608192
AT4G30980	AT1G77450	0
AT4G30980	AT3G09150	0
AT4G30980	AT1G67880	0
AT4G30980	AT5G60790	0.925329179026441
AT4G30980	AT4G19010	0
AT4G30980	AT3G27220	0
AT4G30980	AT1G65820	0.756196721311475
AT4G36540	AT1G61660	0.8315958128605
AT1G32640	AT5G44080	0.982253532354172
AT1G32640	AT1G67792	0.879246698383244
AT1G32640	AT5G24830	0.874726134585289
AT1G32640	AT1G04900	0.844580777096115
AT1G32640	AT2G44730	0.740101200612819
AT1G32640	AT5G05660	0.958909678909679
AT1G32640	AT5G16505	0.801056592849906
AT1G32640	AT4G03560	0.959822616407982
AT1G32640	AT1G53510	0.885994283380972
AT1G32640	AT3G05210	0.774522589659991
AT1G32640	AT2G29560	0.954272658273409
AT1G32640	AT3G56580	0.54975217708971
AT1G32640	AT1G76660	0.882727371588067
